Turn,Current_Player,Num_Turns,Resource_Bank,Dev_Card_Bank,Actions_Taken,RED_VP,RED_Settlements,RED_Cities,RED_Roads,RED_Dev_Cards,RED_Class,BLUE_VP,BLUE_Settlements,BLUE_Cities,BLUE_Roads,BLUE_Dev_Cards,BLUE_Class,Num_Players,Winner,Game_ID
910,RED,370,"[19, 18, 18, 17, 19]",16,910,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
911,BLUE,371,"[19, 18, 18, 17, 19]",16,911,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
912,BLUE,371,"[19, 18, 18, 16, 19]",16,912,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
913,RED,372,"[19, 18, 18, 16, 19]",16,913,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
914,RED,372,"[19, 18, 18, 15, 19]",16,914,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
915,BLUE,373,"[19, 18, 18, 15, 19]",16,915,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
916,BLUE,373,"[18, 18, 18, 15, 19]",16,916,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
917,RED,374,"[18, 18, 18, 15, 19]",16,917,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
918,RED,374,"[18, 18, 18, 15, 19]",16,918,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
919,BLUE,375,"[18, 18, 18, 15, 19]",16,919,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
920,BLUE,375,"[18, 18, 18, 15, 19]",16,920,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
921,BLUE,375,"[18, 18, 18, 15, 19]",16,921,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
922,RED,376,"[18, 18, 18, 15, 19]",16,922,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
923,RED,376,"[17, 18, 18, 15, 19]",16,923,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
924,BLUE,377,"[17, 18, 18, 15, 19]",16,924,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
925,BLUE,377,"[17, 18, 18, 15, 19]",16,925,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
926,BLUE,377,"[17, 18, 18, 15, 19]",16,926,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
927,RED,378,"[17, 18, 18, 15, 19]",16,927,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
928,RED,378,"[17, 18, 18, 15, 19]",16,928,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
929,BLUE,379,"[17, 18, 18, 15, 19]",16,929,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
930,BLUE,379,"[17, 18, 18, 14, 19]",16,930,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
931,BLUE,379,"[17, 18, 18, 17, 18]",16,931,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
